Map Detail Name,ANZSOC Division,ANZSOC Group,Area Unit,Country,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Selected Detail Level,Ta2014 Nam,Geometry,Geometry (MB2014 GV Clipped.shp),Geometry (REGC2014 GV Clipped.shp),Geometry (TA2014 GV Clipped.shp),Number of Victimisations,Selected Geographic Level ,Victimisations
Auckland,Sexual Offences,Unlawful sexual contact of an adult,Puhinui North.,NZ,Auckland Region,Auckland.,1/10/2023,0673203,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Offensive sexual acts,Kelston Central.,NZ,Auckland Region,Auckland.,1/01/2025,0272100,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Offensive sexual acts,Lynnmall.,NZ,Auckland Region,Auckland.,1/02/2024,0264904,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of a child,Massey Park.,NZ,Auckland Region,Auckland.,1/03/2024,0797800,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of a child,Ardmore.,NZ,Auckland Region,Auckland.,1/05/2024,0759600,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Offensive sexual acts,Mangere South.,NZ,Auckland Region,Auckland.,1/12/2023,0727200,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of a child,Glenbrook.,NZ,Auckland Region,Auckland.,1/10/2023,0833800,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of an adult,Pukekohe West.,NZ,Auckland Region,Auckland.,1/01/2024,0820703,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Offensive sexual acts,Monarch Park.,NZ,Auckland Region,Auckland.,1/04/2024,0205700,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Offensive sexual acts,Papakura Central.,NZ,Auckland Region,Auckland.,1/01/2024,0793400,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of a child,Eden Road-Hill Top.,NZ,Auckland Region,Auckland.,1/09/2024,0826000,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Offensive sexual acts,Point England.,NZ,Auckland Region,Auckland.,1/08/2023,0477000,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Child procurement or grooming,Papakura East.,NZ,Auckland Region,Auckland.,1/04/2025,0799117,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
